小区名称,地址,均价(元/平),在售套数,建成年代,开发商,物业公司,物业费,容积率,绿化率,车位比,总户数,建筑类型,经度,纬度,POI数
松园,科教街1号,3800.0,0,2012,单位自建,业主自管,0.5,1.2,30.0,,96,"[""多层""]",108.088447,34.263471,25
化建家园,渭惠路21号,3750.0,1,2010,陕西延长化建房地产开发有限公司,陕西化建物业管理有限公司,0.85,3.5,36.0,306(1:0.3),1008,"[""高层""]",108.086079,34.268082,25
揉谷中心社区,杨青路,3750.0,0,2004,单位自建,业主自管,,1.2,30.0,,1704,"[""多层""]",108.024299,34.26627,11
石头河景园,"邰城路,近五胡路",3750.0,0,2001,单位自建,业主自管,0.6,1.2,30.0,150(1:1.6),96,"[""多层""]",108.075477,34.258061,24
嘉园华庭,神农路,3750.0,0,2015,单位自建,业主自管,0.9,2.5,30.0,,,"[""高层""]",108.092195,34.258882,24
金辉小区,公园路,3708.0,11,2012,单位自建,业主自管,0.7,1.2,30.0,86(1:0.2),560,"[""多层""]",108.080901,34.273289,25
文教家属院,公园路,3700.0,0,2010,单位自建,业主自管,0.5,1.2,30.0,,60,"[""多层""]",108.081595,34.275486,25
桃源公寓,五胡路,3662.0,0,1999,单位自建,业主自管,0.5,1.2,20.0,85(1:0.5),169,"[""多层""]",108.081213,34.256072,24
天惠小区,渭惠路43号,3650.0,0,2002,单位自建,业主自管,0.5,1.2,30.0,35(1:0.2),217,"[""多层""]",108.068299,34.267896,26
东苑北区,常青路,3650.0,0,1999,单位自建,业主自管,0.5,1.2,20.0,220(1:0.8),282,"[""多层""]",108.087506,34.257796,24
鼎盛花园,常青路,3583.0,2,2010,单位自建,业主自管,0.5,1.2,30.0,220(1:0.4),588,"[""多层""]",108.087739,34.279709,25
永丰嘉苑,五胡路,3575.0,12,2013,单位自建,业主自管,0.45,1.5,30.0,120(1:0.1),1655,"[""小高层""]",108.084548,34.257074,24
水利所小区,渭惠路16号,3550.0,0,,暂无,暂无,,,,,,"[""多层""]",108.083548,34.267743,26
博睿天居南苑,常青路,3550.0,0,2013,单位自建,业主自管,0.5,1.2,30.0,880(1:6.5),136,"[""多层""]",108.086232,34.258958,25
华宇书香名邸一期,高干渠路,3533.0,5,2015,单位自建,业主自管,0.8,2.0,30.0,200(1:0.3),791,"[""多层"", ""小高层"", ""高层""]",108.090209,34.276238,26
世纪华府,渭惠路18号,3500.0,0,1998,单位自建,业主自管,0.9,2.5,20.0,,168,"[""高层""]",108.081357,34.268668,25
化建小区,西农路,3450.0,0,1986,单位自建,业主自管,0.8,1.2,20.0,38(1:0.1),396,"[""多层""]",108.073245,34.2785,26
大寨中心社区,杨泉路,3450.0,0,2005,单位自建,业主自管,0.8,2.5,30.0,120(1:0.1),2056,"[""高层""]",108.064878,34.27687,24
农大景苑,康乐西路,3450.0,0,2005,单位自建,业主自管,0.5,1.2,30.0,56(1:0.2),250,"[""多层""]",108.072345,34.271576,26
光泰小区,神农路,3450.0,0,,暂无,暂无,,,,,,"[""小高层""]",108.096139,34.259411,24
隆发城市广场,康乐路,3400.0,0,,暂无,暂无,,,,,,"[""高层""]",108.073657,34.272308,26
家和园(杨陵),凤凰路,3360.0,2,2000,单位自建,业主自管,0.5,1.2,30.0,89(1:0.1),636,"[""多层""]",108.081225,34.282515,24
西农北校区新农村小区,杨泉路,3350.0,0,2002,单位自建,业主自管,0.5,1.2,30.0,46(1:0.1),360,"[""多层""]",108.076266,34.277868,25
华宇书香名邸二期,长青路,3329.0,2,1998,单位自建,业主自管,0.8,1.2,20.0,56(1:0.2),289,"[""多层""]",108.090412,34.275177,25
百货公司小区,后稷路,3300.0,0,,暂无,暂无,,,,,48,"[""多层""]",108.080031,34.271046,25
亿辉公寓,常乐路,3300.0,0,2017,单位自建,业主自管,0.5,1.2,30.0,,96,"[""多层""]",108.080953,34.270915,26
梁氏窑社区,常乐路,3300.0,0,2018,单位自建,业主自管,0.5,1.2,30.0,38(1:0.3),120,"[""多层""]",108.062105,34.269488,24
永安家园,水厂路,3250.0,0,1999,单位自建,业主自管,0.9,2.5,20.0,,1728,"[""高层""]",108.067282,34.250411,16
祥和家园(杨陵),常乐东路62号,3250.0,0,1995,单位自建,业主自管,0.5,1.2,20.0,,48,"[""多层""]",108.086414,34.270775,25
杨村中心社区,东环北路,3250.0,0,,暂无,暂无,,,,,,"[""高层""]",108.106344,34.276329,12
万安小区,"神农路,近常青路",3249.0,7,2000,单位自建,业主自管,0.8,1.2,30.0,120(1:0.3),396,"[""多层""]",108.088002,34.258759,24
大寨家园,杨泉路,3200.0,3,1993,单位自建,业主自管,1.0,2.0,20.0,1500(1:0.7),2056,"[""多层"", ""高层""]",108.064868,34.277019,24
邰城新村,五湖路,3200.0,0,1995,单位自建,业主自管,0.5,1.2,20.0,38(1:0.1),336,"[""多层""]",108.081023,34.25712,24
景苑家园,五胡路,3200.0,0,2014,单位自建,业主自管,0.8,2.5,30.0,350(1:0.3),1015,"[""高层""]",108.100041,34.255401,21
凤凰山庄(二期),凤凰路1号,3075.0,3,2008,单位自建,业主自管,0.5,1.2,30.0,,574,"[""多层""]",108.089508,34.282111,24
邰东社区,东新路,3050.0,1,2006,单位自建,业主自管,0.5,2.5,30.0,56(1:0.0),1248,"[""高层""]",108.104408,34.256683,14
